,date,factor_indicator,y
0,2007-11-06,-1586.0,1
1,2007-11-07,-1587.0,1
2,2007-11-08,-1857.0,0
3,2007-11-09,-1732.0,0
4,2007-11-12,-1662.0,0
5,2007-11-13,-1597.0,0
6,2007-11-14,-1342.0,0
7,2007-11-15,-1379.0,0
8,2007-11-16,-1299.0,0
9,2007-11-19,-1274.0,1
10,2007-11-20,-1335.0,0
11,2007-11-21,-1287.0,1
12,2007-11-22,-1281.0,1
13,2007-11-23,-1299.0,0
14,2007-11-26,-1314.0,0
15,2007-11-27,-1393.0,0
16,2007-11-28,-1229.0,0
17,2007-11-29,-1202.0,0
18,2007-11-30,-1290.0,0
19,2007-12-03,-1200.0,0
20,2007-12-04,-1110.0,0
21,2007-12-05,-1106.0,1
22,2007-12-06,-1065.0,1
23,2007-12-07,-1055.0,1
24,2007-12-10,-1143.0,0
25,2007-12-11,-1139.0,0
26,2007-12-12,-1151.0,0
27,2007-12-13,-1076.0,1
28,2007-12-14,-1124.0,1
29,2007-12-17,-1116.0,1
30,2007-12-18,-1295.0,0
31,2007-12-19,-1225.0,1
32,2007-12-20,-1297.0,1
33,2007-12-21,-1273.0,1
34,2007-12-24,-1277.0,1
35,2007-12-25,-1297.0,0
36,2007-12-26,-1264.0,0
37,2007-12-27,-1283.0,1
38,2007-12-28,-1215.0,1
39,2008-01-02,-1238.0,1
40,2008-01-03,-1264.0,1
41,2008-01-04,-1404.0,1
42,2008-01-07,-1417.0,1
43,2008-01-08,-1481.0,0
44,2008-01-09,-1403.0,0
45,2008-01-10,-1427.0,0
46,2008-01-11,-1296.0,1
47,2008-01-14,-1164.0,1
48,2008-01-15,-1341.0,0
49,2008-01-16,-1302.0,0
50,2008-01-17,-1224.0,0
51,2008-01-18,-1279.0,0
52,2008-01-21,-1203.0,0
53,2008-01-22,-1156.0,0
54,2008-01-23,-967.0,1
55,2008-01-24,-1126.0,0
56,2008-01-25,-1034.0,1
57,2008-01-28,-1036.0,0
58,2008-01-29,-1023.0,0
59,2008-01-30,-1032.0,0
60,2008-01-31,-984.0,1
61,2008-02-01,-991.0,1
62,2008-02-04,-979.0,1
63,2008-02-05,-1040.0,1
64,2008-02-13,-1084.0,1
65,2008-02-14,-991.0,1
66,2008-02-15,-1125.0,1
67,2008-02-18,-1132.0,1
68,2008-02-19,-1190.0,1
69,2008-02-20,-1507.0,1
70,2008-02-21,-1569.0,1
71,2008-02-22,-1589.0,1
72,2008-02-25,-1736.0,0
73,2008-02-26,-1639.0,0
74,2008-02-27,-1562.0,1
75,2008-02-28,-1591.0,1
76,2008-02-29,-1549.0,1
77,2008-03-03,-1644.0,1
78,2008-03-04,-2079.0,1
79,2008-03-05,-2610.0,0
80,2008-03-06,-2321.0,0
81,2008-03-07,-2214.0,0
82,2008-03-10,-1820.0,0
83,2008-03-11,-1725.0,1
84,2008-03-12,-1880.0,0
85,2008-03-13,-1685.0,0
86,2008-03-14,-1734.0,0
87,2008-03-17,-1681.0,0
88,2008-03-18,-1448.0,0
89,2008-03-19,-1048.0,0
90,2008-03-20,-1103.0,0
91,2008-03-21,-921.0,1
92,2008-03-24,-1027.0,1
93,2008-03-25,-999.0,0
94,2008-03-26,-1065.0,0
95,2008-03-27,-1035.0,1
96,2008-03-28,-878.0,0
97,2008-03-31,-884.0,0
98,2008-04-01,-1087.0,0
99,2008-04-02,-733.0,1
100,2008-04-03,-814.0,0
101,2008-04-07,-744.0,0
102,2008-04-08,-783.0,0
103,2008-04-09,-730.0,0
104,2008-04-10,-717.0,1
105,2008-04-11,-752.0,1
106,2008-04-14,-685.0,1
107,2008-04-15,-757.0,0
108,2008-04-16,-850.0,0
109,2008-04-17,-891.0,0
110,2008-04-18,-745.0,0
111,2008-04-21,-673.0,0
112,2008-04-22,-512.0,1
113,2008-04-23,-400.0,1
114,2008-04-24,-452.0,1
115,2008-04-25,-580.0,0
116,2008-04-28,-443.0,0
117,2008-04-29,-492.0,0
118,2008-04-30,-470.0,0
119,2008-05-05,-440.0,1
120,2008-05-06,-446.0,0
121,2008-05-07,-445.0,0
122,2008-05-08,-463.0,0
123,2008-05-09,-438.0,1
124,2008-05-12,-395.0,0
125,2008-05-13,-442.0,0
126,2008-05-14,-433.0,0
127,2008-05-15,-323.0,1
128,2008-05-16,-264.0,1
129,2008-05-19,-318.0,1
130,2008-05-20,-350.0,1
131,2008-05-21,-390.0,0
132,2008-05-22,-341.0,1
133,2008-05-23,-484.0,0
134,2008-05-26,-337.0,0
135,2008-05-27,-305.0,0
136,2008-05-28,-300.0,0
137,2008-05-29,-121.0,0
138,2008-05-30,-108.0,0
139,2008-06-02,-99.0,0
140,2008-06-03,31.0,1
141,2008-06-04,16.0,1
142,2008-06-05,16.0,1
143,2008-06-06,3.0,0
144,2008-06-10,13.0,0
145,2008-06-11,13.0,0
146,2008-06-12,153.0,1
147,2008-06-13,128.0,1
148,2008-06-16,121.0,1
149,2008-06-17,102.0,1
150,2008-06-18,97.0,0
151,2008-06-19,77.0,0
152,2008-06-20,87.0,0
153,2008-06-23,137.0,0
154,2008-06-24,168.0,1
155,2008-06-25,183.0,0
156,2008-06-26,156.0,0
157,2008-06-27,153.0,0
158,2008-06-30,188.0,0
159,2008-07-01,293.0,0
160,2008-07-02,332.0,1
161,2008-07-03,324.0,1
162,2008-07-04,325.0,1
163,2008-07-07,-999.0,0
164,2008-07-08,-992.0,0
