,date,factor_indicator,y
0,2010-08-11,15029.0,1
1,2010-08-12,14483.0,1
2,2010-08-13,15106.0,1
3,2010-08-16,15005.0,0
4,2010-08-17,14989.0,0
5,2010-08-18,15083.0,1
6,2010-08-19,14594.0,1
7,2010-08-20,12974.0,1
8,2010-08-23,13576.0,1
9,2010-08-24,12065.0,1
10,2010-08-25,13349.0,1
11,2010-08-26,14276.0,1
12,2010-08-27,14612.0,1
13,2010-08-30,14143.0,1
14,2010-08-31,15018.0,1
15,2010-09-01,15013.0,1
16,2010-09-02,15082.0,1
17,2010-09-03,15099.0,1
18,2010-09-06,15040.0,1
19,2010-09-07,15011.0,1
20,2010-09-08,15068.0,1
21,2010-09-09,15081.0,1
22,2010-09-10,20058.0,1
23,2010-09-13,20001.0,1
24,2010-09-14,20082.0,1
25,2010-09-15,20018.0,1
26,2010-09-16,20020.0,1
27,2010-09-17,20046.0,1
28,2010-09-20,20040.0,1
29,2010-09-21,20047.0,1
30,2010-09-27,20009.0,1
31,2010-09-28,30048.0,1
32,2010-09-29,30016.0,1
33,2010-09-30,30099.0,1
34,2010-10-08,30011.315,1
35,2010-10-11,30041.0,1
36,2010-10-12,30060.0,1
37,2010-10-13,30093.0,0
38,2010-10-15,30067.0,0
39,2010-10-18,40016.0,0
40,2010-10-19,40082.52,0
41,2010-10-20,40048.04,0
42,2012-09-03,30434.57,0
43,2012-09-04,21731.0,0
44,2012-09-05,31542.0,1
45,2012-09-06,34247.0,0
46,2012-09-07,32884.0,0
47,2012-09-10,24459.0,0
48,2012-09-11,21830.77,1
49,2012-09-12,16167.24,1
50,2012-09-13,12953.08,1
51,2012-09-14,12428.9,1
52,2012-09-17,8887.758,0
53,2012-09-18,16944.094,0
54,2012-09-19,22015.46,0
55,2012-09-20,21386.507,0
56,2012-09-21,24356.494,0
57,2012-09-24,19521.814,0
58,2012-09-25,19445.286,0
59,2012-09-26,24760.43,1
60,2012-09-27,26415.296,1
61,2012-09-28,29017.046,1
62,2013-01-14,44987.181,1
63,2013-01-15,20186.85,1
64,2013-01-16,33269.04,1
65,2013-01-17,50940.09,1
66,2013-01-18,43349.14,1
67,2013-01-21,26600.87,1
68,2013-01-22,29983.2,1
69,2013-01-23,29674.99,1
70,2013-01-24,23273.96,1
71,2013-01-25,15754.37,1
72,2013-01-28,18053.71,0
73,2013-01-29,18810.76,1
74,2013-01-30,18663.45,0
75,2013-01-31,21889.18,0
76,2013-02-01,18343.82,0
77,2013-02-18,22891.55,0
78,2013-02-19,29458.24,0
79,2013-02-20,28903.52,0
80,2013-02-21,28100.4,0
81,2013-02-22,24409.19,1
82,2013-02-25,15418.79,1
83,2013-02-26,14885.9,1
84,2013-02-27,13420.08,1
85,2013-02-28,11622.9849,1
86,2013-03-01,13436.4717,1
87,2013-03-04,20488.4216,1
88,2013-03-05,22507.5717,1
89,2013-03-06,21096.7866,1
90,2013-03-07,16256.4383,1
91,2013-03-08,15409.2068,1
92,2013-03-11,13651.9232,0
93,2013-03-12,17719.168,1
94,2013-03-13,14596.558,1
