,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,棉花最低交割价,2007-11-05,2021-07-14,,13519.0,,
1,棉花最低交割价,2007-11-06,2021-07-14,,13548.0,,
2,棉花最低交割价,2007-11-07,2021-07-14,,13533.0,,
3,棉花最低交割价,2007-11-08,2021-07-14,,13533.0,,
4,棉花最低交割价,2007-11-09,2021-07-14,,13533.0,,
5,棉花最低交割价,2007-11-12,2021-07-14,,13543.0,,
6,棉花最低交割价,2007-11-13,2021-07-14,,13543.0,,
7,棉花最低交割价,2007-11-14,2021-07-14,,13541.0,,
8,棉花最低交割价,2007-11-15,2021-07-14,,13541.0,,
9,棉花最低交割价,2007-11-16,2021-07-14,,13541.0,,
10,棉花最低交割价,2007-11-19,2021-07-14,,13535.0,,
11,棉花最低交割价,2007-11-20,2021-07-14,,13538.0,,
12,棉花最低交割价,2007-11-21,2021-07-14,,13539.0,,
13,棉花最低交割价,2007-11-22,2021-07-14,,13541.0,,
14,棉花最低交割价,2007-11-23,2021-07-14,,13541.0,,
15,棉花最低交割价,2007-11-26,2021-07-14,,13542.0,,
16,棉花最低交割价,2007-11-27,2021-07-14,,13541.0,,
17,棉花最低交割价,2007-11-28,2021-07-14,,13533.0,,
18,棉花最低交割价,2007-11-29,2021-07-14,,13525.0,,
19,棉花最低交割价,2007-11-30,2021-07-14,,13525.0,,
20,棉花最低交割价,2007-12-03,2021-07-14,,13525.0,,
21,棉花最低交割价,2007-12-04,2021-07-14,,13519.0,,
22,棉花最低交割价,2007-12-05,2021-07-14,,13515.0,,
23,棉花最低交割价,2007-12-06,2021-07-14,,13515.0,,
24,棉花最低交割价,2007-12-07,2021-07-14,,13512.0,,
25,棉花最低交割价,2007-12-10,2021-07-14,,13511.0,,
26,棉花最低交割价,2007-12-11,2021-07-14,,13509.0,,
27,棉花最低交割价,2007-12-12,2021-07-14,,13509.0,,
28,棉花最低交割价,2007-12-13,2021-07-14,,13511.0,,
29,棉花最低交割价,2007-12-14,2021-07-14,,13519.0,,
30,棉花最低交割价,2007-12-17,2021-07-14,,13520.0,,
31,棉花最低交割价,2007-12-18,2021-07-14,,13525.0,,
32,棉花最低交割价,2007-12-19,2021-07-14,,13533.0,,
33,棉花最低交割价,2007-12-20,2021-07-14,,13532.0,,
34,棉花最低交割价,2007-12-21,2021-07-14,,13538.0,,
35,棉花最低交割价,2007-12-24,2021-07-14,,13543.0,,
36,棉花最低交割价,2007-12-25,2021-07-14,,13546.0,,
37,棉花最低交割价,2007-12-26,2021-07-14,,13552.0,,
38,棉花最低交割价,2007-12-27,2021-07-14,,13565.0,,
39,棉花最低交割价,2007-12-28,2021-07-14,,13567.0,,
40,棉花最低交割价,2007-12-29,2021-07-14,,13572.0,,
41,棉花最低交割价,2008-01-02,2021-07-14,,13581.0,,
42,棉花最低交割价,2008-01-03,2021-07-14,,13586.0,,
43,棉花最低交割价,2008-01-04,2021-07-14,,13588.0,,
44,棉花最低交割价,2008-01-07,2021-07-14,,13589.0,,
45,棉花最低交割价,2008-01-08,2021-07-14,,13602.0,,
46,棉花最低交割价,2008-01-09,2021-07-14,,13608.0,,
47,棉花最低交割价,2008-01-10,2021-07-14,,13609.0,,
48,棉花最低交割价,2008-01-11,2021-07-14,,13611.0,,
49,棉花最低交割价,2008-01-14,2021-07-14,,13609.0,,
50,棉花最低交割价,2008-01-15,2021-07-14,,13608.0,,
51,棉花最低交割价,2008-01-16,2021-07-14,,13616.0,,
52,棉花最低交割价,2008-01-17,2021-07-14,,13616.0,,
53,棉花最低交割价,2008-01-18,2021-07-14,,13617.0,,
54,棉花最低交割价,2008-01-21,2021-07-14,,13634.0,,
55,棉花最低交割价,2008-01-22,2021-07-14,,13633.0,,
56,棉花最低交割价,2008-01-23,2021-07-14,,13639.0,,
57,棉花最低交割价,2008-01-24,2021-07-14,,13641.0,,
58,棉花最低交割价,2008-01-25,2021-07-14,,13649.0,,
59,棉花最低交割价,2008-01-28,2021-07-14,,13657.0,,
60,棉花最低交割价,2008-01-29,2021-07-14,,13663.0,,
61,棉花最低交割价,2008-01-30,2021-07-14,,13666.0,,
62,棉花最低交割价,2008-01-31,2021-07-14,,13669.0,,
63,棉花最低交割价,2008-02-01,2021-07-14,,13671.0,,
64,棉花最低交割价,2008-02-02,2021-07-14,,13673.0,,
65,棉花最低交割价,2008-02-03,2021-07-14,,13673.0,,
66,棉花最低交割价,2008-02-04,2021-07-14,,13675.0,,
67,棉花最低交割价,2008-02-05,2021-07-14,,13676.0,,
68,棉花最低交割价,2008-02-13,2021-07-14,,13679.0,,
69,棉花最低交割价,2008-02-14,2021-07-14,,13680.0,,
70,棉花最低交割价,2008-02-15,2021-07-14,,13683.0,,
71,棉花最低交割价,2008-02-18,2021-07-14,,13695.0,,
72,棉花最低交割价,2008-02-19,2021-07-14,,13708.0,,
73,棉花最低交割价,2008-02-20,2021-07-14,,13716.0,,
74,棉花最低交割价,2008-02-21,2021-07-14,,13716.0,,
75,棉花最低交割价,2008-02-22,2021-07-14,,13719.0,,
76,棉花最低交割价,2008-02-25,2021-07-14,,13751.0,,
77,棉花最低交割价,2008-02-26,2021-07-14,,13763.0,,
78,棉花最低交割价,2008-02-27,2021-07-14,,13789.0,,
79,棉花最低交割价,2008-02-28,2021-07-14,,13791.0,,
80,棉花最低交割价,2008-02-29,2021-07-14,,13796.0,,
81,棉花最低交割价,2008-03-03,2021-07-14,,13801.0,,
82,棉花最低交割价,2008-03-04,2021-07-14,,13810.0,,
83,棉花最低交割价,2008-03-05,2021-07-14,,13819.0,,
84,棉花最低交割价,2008-03-06,2021-07-14,,13821.0,,
85,棉花最低交割价,2008-03-07,2021-07-14,,13835.0,,
86,棉花最低交割价,2008-03-10,2021-07-14,,13840.0,,
87,棉花最低交割价,2008-03-11,2021-07-14,,13845.0,,
88,棉花最低交割价,2008-03-12,2021-07-14,,13850.0,,
89,棉花最低交割价,2008-03-13,2021-07-14,,13851.0,,
90,棉花最低交割价,2008-03-14,2021-07-14,,13849.0,,
91,棉花最低交割价,2008-03-17,2021-07-14,,13847.0,,
