,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,轻纺城棉布日成交量|DZ,2014-06-20,2021-11-23,,35.0,,
1,轻纺城棉布日成交量|DZ,2014-06-21,2021-11-23,,29.0,,
2,轻纺城棉布日成交量|DZ,2014-06-22,2021-11-23,,33.0,,
3,轻纺城棉布日成交量|DZ,2014-06-23,2021-11-23,,36.0,,
4,轻纺城棉布日成交量|DZ,2014-06-24,2021-11-23,,40.0,,
5,轻纺城棉布日成交量|DZ,2014-06-25,2021-11-23,,42.0,,
6,轻纺城棉布日成交量|DZ,2014-06-26,2021-11-23,,47.0,,
7,轻纺城棉布日成交量|DZ,2014-06-27,2021-11-23,,40.0,,
8,轻纺城棉布日成交量|DZ,2014-06-28,2021-11-23,,48.0,,
9,轻纺城棉布日成交量|DZ,2014-06-29,2021-11-23,,41.0,,
10,轻纺城棉布日成交量|DZ,2014-06-30,2021-11-23,,31.0,,
11,轻纺城棉布日成交量|DZ,2014-07-01,2021-11-23,,39.0,,
12,轻纺城棉布日成交量|DZ,2014-07-02,2021-11-23,,41.0,,
13,轻纺城棉布日成交量|DZ,2014-07-03,2021-11-23,,43.0,,
14,轻纺城棉布日成交量|DZ,2014-07-04,2021-11-23,,44.0,,
15,轻纺城棉布日成交量|DZ,2014-07-05,2021-11-23,,35.0,,
16,轻纺城棉布日成交量|DZ,2014-07-06,2021-11-23,,56.0,,
17,轻纺城棉布日成交量|DZ,2014-07-07,2021-11-23,,32.0,,
18,轻纺城棉布日成交量|DZ,2014-07-08,2021-11-23,,35.0,,
19,轻纺城棉布日成交量|DZ,2014-07-09,2021-11-23,,37.0,,
20,轻纺城棉布日成交量|DZ,2014-07-10,2021-11-23,,40.0,,
21,轻纺城棉布日成交量|DZ,2014-07-11,2021-11-23,,42.0,,
22,轻纺城棉布日成交量|DZ,2014-07-12,2021-11-23,,49.0,,
23,轻纺城棉布日成交量|DZ,2014-07-13,2021-11-23,,38.0,,
24,轻纺城棉布日成交量|DZ,2014-07-14,2021-11-23,,36.0,,
25,轻纺城棉布日成交量|DZ,2014-07-15,2021-11-23,,38.0,,
26,轻纺城棉布日成交量|DZ,2014-07-16,2021-11-23,,42.0,,
27,轻纺城棉布日成交量|DZ,2014-07-17,2021-11-23,,44.0,,
28,轻纺城棉布日成交量|DZ,2014-07-18,2021-11-23,,48.0,,
29,轻纺城棉布日成交量|DZ,2014-07-19,2021-11-23,,53.0,,
30,轻纺城棉布日成交量|DZ,2014-07-20,2021-11-23,,37.0,,
31,轻纺城棉布日成交量|DZ,2014-07-21,2021-11-23,,32.0,,
32,轻纺城棉布日成交量|DZ,2014-07-22,2021-11-23,,34.0,,
33,轻纺城棉布日成交量|DZ,2014-07-23,2021-11-23,,37.0,,
34,轻纺城棉布日成交量|DZ,2014-07-24,2021-11-23,,39.0,,
35,轻纺城棉布日成交量|DZ,2014-07-25,2021-11-23,,41.0,,
36,轻纺城棉布日成交量|DZ,2014-07-26,2021-11-23,,55.0,,
37,轻纺城棉布日成交量|DZ,2014-07-27,2021-11-23,,40.0,,
38,轻纺城棉布日成交量|DZ,2014-07-28,2021-11-23,,36.0,,
39,轻纺城棉布日成交量|DZ,2014-07-29,2021-11-23,,40.0,,
40,轻纺城棉布日成交量|DZ,2014-07-30,2021-11-23,,43.0,,
41,轻纺城棉布日成交量|DZ,2014-07-31,2021-11-23,,45.0,,
42,轻纺城棉布日成交量|DZ,2014-08-01,2021-11-23,,41.0,,
43,轻纺城棉布日成交量|DZ,2014-08-02,2021-11-23,,54.0,,
44,轻纺城棉布日成交量|DZ,2014-08-03,2021-11-23,,42.0,,
45,轻纺城棉布日成交量|DZ,2014-08-04,2021-11-23,,36.0,,
46,轻纺城棉布日成交量|DZ,2014-08-05,2021-11-23,,37.0,,
47,轻纺城棉布日成交量|DZ,2014-08-06,2021-11-23,,39.0,,
48,轻纺城棉布日成交量|DZ,2014-08-07,2021-11-23,,42.0,,
49,轻纺城棉布日成交量|DZ,2014-08-08,2021-11-23,,44.0,,
50,轻纺城棉布日成交量|DZ,2014-08-09,2021-11-23,,50.0,,
51,轻纺城棉布日成交量|DZ,2014-08-10,2021-11-23,,41.0,,
52,轻纺城棉布日成交量|DZ,2014-08-11,2021-11-23,,33.0,,
53,轻纺城棉布日成交量|DZ,2014-08-12,2021-11-23,,37.0,,
54,轻纺城棉布日成交量|DZ,2014-08-13,2021-11-23,,38.0,,
55,轻纺城棉布日成交量|DZ,2014-08-14,2021-11-23,,44.0,,
56,轻纺城棉布日成交量|DZ,2014-08-15,2021-11-23,,42.0,,
57,轻纺城棉布日成交量|DZ,2014-08-16,2021-11-23,,45.0,,
58,轻纺城棉布日成交量|DZ,2014-08-17,2021-11-23,,49.0,,
59,轻纺城棉布日成交量|DZ,2014-08-18,2021-11-23,,36.0,,
60,轻纺城棉布日成交量|DZ,2014-08-19,2021-11-23,,39.0,,
61,轻纺城棉布日成交量|DZ,2014-08-20,2021-11-23,,41.0,,
62,轻纺城棉布日成交量|DZ,2014-08-21,2021-11-23,,43.0,,
63,轻纺城棉布日成交量|DZ,2014-08-22,2021-11-23,,46.0,,
64,轻纺城棉布日成交量|DZ,2014-08-23,2021-11-23,,50.0,,
65,轻纺城棉布日成交量|DZ,2014-08-24,2021-11-23,,37.0,,
66,轻纺城棉布日成交量|DZ,2014-08-25,2021-11-23,,35.0,,
67,轻纺城棉布日成交量|DZ,2014-08-26,2021-11-23,,36.0,,
68,轻纺城棉布日成交量|DZ,2014-08-27,2021-11-23,,40.0,,
69,轻纺城棉布日成交量|DZ,2014-08-28,2021-11-23,,45.0,,
70,轻纺城棉布日成交量|DZ,2014-08-29,2021-11-23,,47.0,,
71,轻纺城棉布日成交量|DZ,2014-08-30,2021-11-23,,58.0,,
