,Date,ProductCode
0,20050221,F.CN.CZC.CF.CF0503
1,20050222,F.CN.CZC.CF.CF0505
2,20050223,F.CN.CZC.CF.CF0505
3,20050224,F.CN.CZC.CF.CF0505
4,20050225,F.CN.CZC.CF.CF0505
5,20050226,F.CN.CZC.CF.CF0505
6,20050227,F.CN.CZC.CF.CF0505
7,20050228,F.CN.CZC.CF.CF0505
8,20050301,F.CN.CZC.CF.CF0505
9,20050302,F.CN.CZC.CF.CF0505
10,20050303,F.CN.CZC.CF.CF0505
11,20050304,F.CN.CZC.CF.CF0505
12,20050305,F.CN.CZC.CF.CF0505
13,20050306,F.CN.CZC.CF.CF0505
14,20050307,F.CN.CZC.CF.CF0505
15,20050308,F.CN.CZC.CF.CF0505
16,20050309,F.CN.CZC.CF.CF0505
17,20050310,F.CN.CZC.CF.CF0505
18,20050311,F.CN.CZC.CF.CF0505
19,20050312,F.CN.CZC.CF.CF0505
20,20050313,F.CN.CZC.CF.CF0505
21,20050314,F.CN.CZC.CF.CF0505
22,20050315,F.CN.CZC.CF.CF0505
23,20050316,F.CN.CZC.CF.CF0505
24,20050317,F.CN.CZC.CF.CF0505
25,20050318,F.CN.CZC.CF.CF0505
26,20050319,F.CN.CZC.CF.CF0505
27,20050320,F.CN.CZC.CF.CF0505
28,20050321,F.CN.CZC.CF.CF0505
29,20050322,F.CN.CZC.CF.CF0505
30,20050323,F.CN.CZC.CF.CF0505
31,20050324,F.CN.CZC.CF.CF0505
32,20050325,F.CN.CZC.CF.CF0505
33,20050326,F.CN.CZC.CF.CF0505
34,20050327,F.CN.CZC.CF.CF0505
35,20050328,F.CN.CZC.CF.CF0505
36,20050329,F.CN.CZC.CF.CF0505
37,20050330,F.CN.CZC.CF.CF0506
38,20050331,F.CN.CZC.CF.CF0506
39,20050401,F.CN.CZC.CF.CF0506
40,20050402,F.CN.CZC.CF.CF0506
41,20050403,F.CN.CZC.CF.CF0506
42,20050404,F.CN.CZC.CF.CF0506
43,20050405,F.CN.CZC.CF.CF0506
44,20050406,F.CN.CZC.CF.CF0506
45,20050407,F.CN.CZC.CF.CF0506
46,20050408,F.CN.CZC.CF.CF0506
47,20050409,F.CN.CZC.CF.CF0506
48,20050410,F.CN.CZC.CF.CF0506
49,20050411,F.CN.CZC.CF.CF0506
50,20050412,F.CN.CZC.CF.CF0506
51,20050413,F.CN.CZC.CF.CF0506
52,20050414,F.CN.CZC.CF.CF0506
53,20050415,F.CN.CZC.CF.CF0506
54,20050416,F.CN.CZC.CF.CF0506
55,20050417,F.CN.CZC.CF.CF0506
56,20050418,F.CN.CZC.CF.CF0506
57,20050419,F.CN.CZC.CF.CF0506
58,20050420,F.CN.CZC.CF.CF0506
59,20050421,F.CN.CZC.CF.CF0506
60,20050422,F.CN.CZC.CF.CF0506
61,20050423,F.CN.CZC.CF.CF0507
62,20050424,F.CN.CZC.CF.CF0507
63,20050425,F.CN.CZC.CF.CF0507
64,20050426,F.CN.CZC.CF.CF0507
65,20050427,F.CN.CZC.CF.CF0507
66,20050428,F.CN.CZC.CF.CF0507
67,20050429,F.CN.CZC.CF.CF0507
68,20050430,F.CN.CZC.CF.CF0507
69,20050501,F.CN.CZC.CF.CF0507
70,20050502,F.CN.CZC.CF.CF0507
71,20050503,F.CN.CZC.CF.CF0507
72,20050504,F.CN.CZC.CF.CF0507
73,20050505,F.CN.CZC.CF.CF0507
74,20050506,F.CN.CZC.CF.CF0507
75,20050507,F.CN.CZC.CF.CF0507
76,20050508,F.CN.CZC.CF.CF0507
77,20050509,F.CN.CZC.CF.CF0507
78,20050510,F.CN.CZC.CF.CF0507
79,20050511,F.CN.CZC.CF.CF0507
80,20050512,F.CN.CZC.CF.CF0507
81,20050513,F.CN.CZC.CF.CF0507
82,20050514,F.CN.CZC.CF.CF0507
83,20050515,F.CN.CZC.CF.CF0507
84,20050516,F.CN.CZC.CF.CF0507
85,20050517,F.CN.CZC.CF.CF0507
86,20050518,F.CN.CZC.CF.CF0507
87,20050519,F.CN.CZC.CF.CF0509
88,20050520,F.CN.CZC.CF.CF0509
89,20050521,F.CN.CZC.CF.CF0509
90,20050522,F.CN.CZC.CF.CF0509
91,20050523,F.CN.CZC.CF.CF0509
92,20050524,F.CN.CZC.CF.CF0509
93,20050525,F.CN.CZC.CF.CF0509
94,20050526,F.CN.CZC.CF.CF0509
95,20050527,F.CN.CZC.CF.CF0509
96,20050528,F.CN.CZC.CF.CF0509
97,20050529,F.CN.CZC.CF.CF0509
98,20050530,F.CN.CZC.CF.CF0509
99,20050531,F.CN.CZC.CF.CF0509
100,20050601,F.CN.CZC.CF.CF0509
101,20050602,F.CN.CZC.CF.CF0509
102,20050603,F.CN.CZC.CF.CF0509
103,20050604,F.CN.CZC.CF.CF0509
104,20050605,F.CN.CZC.CF.CF0509
105,20050606,F.CN.CZC.CF.CF0509
106,20050607,F.CN.CZC.CF.CF0509
107,20050608,F.CN.CZC.CF.CF0509
108,20050609,F.CN.CZC.CF.CF0509
109,20050610,F.CN.CZC.CF.CF0509
110,20050611,F.CN.CZC.CF.CF0509
111,20050612,F.CN.CZC.CF.CF0509
112,20050613,F.CN.CZC.CF.CF0509
113,20050614,F.CN.CZC.CF.CF0509
114,20050615,F.CN.CZC.CF.CF0509
115,20050616,F.CN.CZC.CF.CF0509
116,20050617,F.CN.CZC.CF.CF0509
117,20050618,F.CN.CZC.CF.CF0509
118,20050619,F.CN.CZC.CF.CF0509
119,20050620,F.CN.CZC.CF.CF0509
120,20050621,F.CN.CZC.CF.CF0509
121,20050622,F.CN.CZC.CF.CF0509
122,20050623,F.CN.CZC.CF.CF0509
123,20050624,F.CN.CZC.CF.CF0509
124,20050625,F.CN.CZC.CF.CF0509
125,20050626,F.CN.CZC.CF.CF0509
126,20050627,F.CN.CZC.CF.CF0509
127,20050628,F.CN.CZC.CF.CF0509
128,20050629,F.CN.CZC.CF.CF0509
129,20050630,F.CN.CZC.CF.CF0509
130,20050701,F.CN.CZC.CF.CF0509
131,20050702,F.CN.CZC.CF.CF0509
132,20050703,F.CN.CZC.CF.CF0509
133,20050704,F.CN.CZC.CF.CF0509
134,20050705,F.CN.CZC.CF.CF0509
135,20050706,F.CN.CZC.CF.CF0510
136,20050707,F.CN.CZC.CF.CF0510
137,20050708,F.CN.CZC.CF.CF0510
138,20050709,F.CN.CZC.CF.CF0510
139,20050710,F.CN.CZC.CF.CF0510
140,20050711,F.CN.CZC.CF.CF0510
141,20050712,F.CN.CZC.CF.CF0510
142,20050713,F.CN.CZC.CF.CF0510
143,20050714,F.CN.CZC.CF.CF0510
