,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,纺企棉花库存,2014-08-15,2021-07-14,,29.8,,
1,纺企棉花库存,2014-08-22,2021-07-14,,29.4,,
2,纺企棉花库存,2014-08-29,2021-07-14,,28.3,,
3,纺企棉花库存,2014-09-05,2021-07-14,,27.1,,
4,纺企棉花库存,2014-09-12,2021-07-14,,26.1,,
5,纺企棉花库存,2014-09-19,2021-07-14,,25.1,,
6,纺企棉花库存,2014-09-26,2021-07-14,,24.1,,
7,纺企棉花库存,2014-10-10,2021-07-14,,22.3,,
8,纺企棉花库存,2014-10-17,2021-07-14,,22.9,,
9,纺企棉花库存,2014-10-24,2021-07-14,,23.9,,
10,纺企棉花库存,2014-10-31,2021-07-14,,25.0,,
11,纺企棉花库存,2014-11-07,2021-07-14,,24.5,,
12,纺企棉花库存,2014-11-14,2021-07-14,,23.7,,
13,纺企棉花库存,2014-11-21,2021-07-14,,22.5,,
14,纺企棉花库存,2014-11-28,2021-07-14,,21.7,,
15,纺企棉花库存,2014-12-05,2021-07-14,,21.0,,
16,纺企棉花库存,2014-12-12,2021-07-14,,22.0,,
17,纺企棉花库存,2014-12-19,2021-07-14,,22.6,,
18,纺企棉花库存,2014-12-26,2021-07-14,,22.4,,
19,纺企棉花库存,2015-01-09,2021-07-14,,24.5,,
20,纺企棉花库存,2015-01-16,2021-07-14,,28.0,,
21,纺企棉花库存,2015-01-23,2021-07-14,,29.0,,
22,纺企棉花库存,2015-01-30,2021-07-14,,29.0,,
23,纺企棉花库存,2015-02-06,2021-07-14,,29.0,,
24,纺企棉花库存,2015-02-13,2021-07-14,,29.0,,
25,纺企棉花库存,2015-02-27,2021-07-14,,29.0,,
26,纺企棉花库存,2015-03-06,2021-07-14,,30.0,,
27,纺企棉花库存,2015-03-13,2021-07-14,,30.0,,
28,纺企棉花库存,2015-03-20,2021-07-14,,30.0,,
29,纺企棉花库存,2015-03-27,2021-07-14,,30.0,,
30,纺企棉花库存,2015-04-03,2021-07-14,,34.0,,
31,纺企棉花库存,2015-04-10,2021-07-14,,35.0,,
32,纺企棉花库存,2015-04-17,2021-07-14,,35.0,,
33,纺企棉花库存,2015-04-24,2021-07-14,,35.0,,
34,纺企棉花库存,2015-05-08,2021-07-14,,40.0,,
35,纺企棉花库存,2015-05-15,2021-07-14,,41.0,,
36,纺企棉花库存,2015-05-22,2021-07-14,,40.9,,
37,纺企棉花库存,2015-05-29,2021-07-14,,40.7,,
38,纺企棉花库存,2015-06-05,2021-07-14,,40.4,,
39,纺企棉花库存,2015-06-12,2021-07-14,,40.0,,
40,纺企棉花库存,2015-06-19,2021-07-14,,35.7,,
41,纺企棉花库存,2015-06-26,2021-07-14,,35.3,,
42,纺企棉花库存,2015-07-03,2021-07-14,,34.8,,
43,纺企棉花库存,2015-07-10,2021-07-14,,34.4,,
44,纺企棉花库存,2015-07-17,2021-07-14,,34.5,,
45,纺企棉花库存,2015-07-24,2021-07-14,,34.4,,
46,纺企棉花库存,2015-07-31,2021-07-14,,34.3,,
47,纺企棉花库存,2015-08-07,2021-07-14,,34.3,,
48,纺企棉花库存,2015-08-14,2021-07-14,,32.8,,
49,纺企棉花库存,2015-08-21,2021-07-14,,30.3,,
50,纺企棉花库存,2015-08-28,2021-07-14,,29.6,,
51,纺企棉花库存,2015-09-11,2021-07-14,,29.4,,
52,纺企棉花库存,2015-09-18,2021-07-14,,29.0,,
53,纺企棉花库存,2015-09-25,2021-07-14,,28.8,,
54,纺企棉花库存,2015-10-09,2021-07-14,,27.5,,
55,纺企棉花库存,2015-10-16,2021-07-14,,26.5,,
56,纺企棉花库存,2015-10-23,2021-07-14,,26.4,,
57,纺企棉花库存,2015-10-30,2021-07-14,,26.6,,
58,纺企棉花库存,2015-11-06,2021-07-14,,26.5,,
59,纺企棉花库存,2015-11-13,2021-07-14,,26.6,,
60,纺企棉花库存,2015-11-20,2021-07-14,,26.3,,
61,纺企棉花库存,2015-11-27,2021-07-14,,26.4,,
62,纺企棉花库存,2015-12-04,2021-07-14,,28.2,,
63,纺企棉花库存,2015-12-11,2021-07-14,,29.4,,
64,纺企棉花库存,2015-12-18,2021-07-14,,29.6,,
65,纺企棉花库存,2015-12-25,2021-07-14,,29.0,,
66,纺企棉花库存,2016-01-08,2021-07-14,,28.2,,
67,纺企棉花库存,2016-01-15,2021-07-14,,27.5,,
68,纺企棉花库存,2016-01-22,2021-07-14,,27.3,,
69,纺企棉花库存,2016-01-29,2021-07-14,,26.6,,
70,纺企棉花库存,2016-02-19,2021-07-14,,23.8,,
71,纺企棉花库存,2016-02-26,2021-07-14,,23.5,,
72,纺企棉花库存,2016-03-04,2021-07-14,,23.2,,
73,纺企棉花库存,2016-03-11,2021-07-14,,23.4,,
74,纺企棉花库存,2016-03-18,2021-07-14,,23.2,,
75,纺企棉花库存,2016-03-25,2021-07-14,,23.5,,
76,纺企棉花库存,2016-04-01,2021-07-14,,23.3,,
77,纺企棉花库存,2016-04-08,2021-07-14,,23.3,,
78,纺企棉花库存,2016-04-15,2021-07-14,,23.5,,
79,纺企棉花库存,2016-04-22,2021-07-14,,23.5,,
80,纺企棉花库存,2016-04-29,2021-07-14,,22.4,,
81,纺企棉花库存,2016-05-06,2021-07-14,,22.9,,
82,纺企棉花库存,2016-05-13,2021-07-14,,23.3,,
83,纺企棉花库存,2016-05-20,2021-07-14,,24.3,,
84,纺企棉花库存,2016-05-27,2021-07-14,,24.8,,
85,纺企棉花库存,2016-06-03,2021-07-14,,25.5,,
86,纺企棉花库存,2016-06-17,2021-07-14,,27.1,,
87,纺企棉花库存,2016-06-24,2021-07-14,,28.2,,
88,纺企棉花库存,2016-07-01,2021-07-14,,29.2,,
89,纺企棉花库存,2016-07-08,2021-07-14,,29.9,,
90,纺企棉花库存,2016-07-15,2021-07-14,,30.0,,
91,纺企棉花库存,2016-07-22,2021-07-14,,29.0,,
92,纺企棉花库存,2016-07-29,2021-07-14,,28.6,,
93,纺企棉花库存,2016-08-05,2021-07-14,,27.5,,
94,纺企棉花库存,2016-08-12,2021-07-14,,28.0,,
95,纺企棉花库存,2016-08-19,2021-07-14,,30.0,,
96,纺企棉花库存,2016-08-26,2021-07-14,,30.6,,
97,纺企棉花库存,2016-09-02,2021-07-14,,30.8,,
98,纺企棉花库存,2016-09-09,2021-07-14,,31.3,,
99,纺企棉花库存,2016-09-23,2021-07-14,,32.4,,
100,纺企棉花库存,2016-09-30,2021-07-14,,34.0,,
101,纺企棉花库存,2016-10-14,2021-07-14,,30.0,,
102,纺企棉花库存,2016-10-21,2021-07-14,,28.8,,
103,纺企棉花库存,2016-10-28,2021-07-14,,27.5,,
104,纺企棉花库存,2016-11-04,2021-07-14,,26.9,,
105,纺企棉花库存,2016-11-11,2021-07-14,,26.7,,
106,纺企棉花库存,2016-11-18,2021-07-14,,26.6,,
107,纺企棉花库存,2016-11-25,2021-07-14,,27.6,,
108,纺企棉花库存,2016-12-02,2021-07-14,,27.9,,
109,纺企棉花库存,2016-12-09,2021-07-14,,27.6,,
110,纺企棉花库存,2016-12-16,2021-07-14,,27.2,,
111,纺企棉花库存,2016-12-23,2021-07-14,,27.0,,
112,纺企棉花库存,2016-12-30,2021-07-14,,28.6,,
113,纺企棉花库存,2017-01-06,2021-07-14,,29.9,,
114,纺企棉花库存,2017-01-13,2021-07-14,,30.3,,
115,纺企棉花库存,2017-01-20,2021-07-14,,30.4,,
116,纺企棉花库存,2017-02-03,2021-07-14,,30.4,,
117,纺企棉花库存,2017-02-10,2021-07-14,,30.2,,
118,纺企棉花库存,2017-02-17,2021-07-14,,30.2,,
