,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,纺企棉纱库存,2014-07-25,2021-07-14,,27.0,,
1,纺企棉纱库存,2014-08-01,2021-07-14,,27.2,,
2,纺企棉纱库存,2014-08-08,2021-07-14,,27.0,,
3,纺企棉纱库存,2014-08-15,2021-07-14,,26.6,,
4,纺企棉纱库存,2014-08-22,2021-07-14,,26.3,,
5,纺企棉纱库存,2014-08-29,2021-07-14,,25.8,,
6,纺企棉纱库存,2014-09-05,2021-07-14,,25.5,,
7,纺企棉纱库存,2014-09-12,2021-07-14,,25.3,,
8,纺企棉纱库存,2014-09-19,2021-07-14,,25.2,,
9,纺企棉纱库存,2014-09-26,2021-07-14,,24.9,,
10,纺企棉纱库存,2014-10-10,2021-07-14,,24.3,,
11,纺企棉纱库存,2014-10-17,2021-07-14,,24.0,,
12,纺企棉纱库存,2014-10-24,2021-07-14,,23.8,,
13,纺企棉纱库存,2014-10-31,2021-07-14,,23.3,,
14,纺企棉纱库存,2014-11-07,2021-07-14,,23.6,,
15,纺企棉纱库存,2014-11-14,2021-07-14,,23.6,,
16,纺企棉纱库存,2014-11-21,2021-07-14,,23.5,,
17,纺企棉纱库存,2014-11-28,2021-07-14,,23.8,,
18,纺企棉纱库存,2014-12-05,2021-07-14,,24.0,,
19,纺企棉纱库存,2014-12-12,2021-07-14,,24.5,,
20,纺企棉纱库存,2014-12-19,2021-07-14,,25.0,,
21,纺企棉纱库存,2014-12-26,2021-07-14,,25.0,,
22,纺企棉纱库存,2015-01-09,2021-07-14,,26.2,,
23,纺企棉纱库存,2015-01-16,2021-07-14,,26.5,,
24,纺企棉纱库存,2015-01-23,2021-07-14,,26.0,,
25,纺企棉纱库存,2015-01-30,2021-07-14,,25.3,,
26,纺企棉纱库存,2015-02-06,2021-07-14,,23.5,,
27,纺企棉纱库存,2015-02-13,2021-07-14,,18.0,,
28,纺企棉纱库存,2015-02-27,2021-07-14,,18.7,,
29,纺企棉纱库存,2015-03-06,2021-07-14,,19.6,,
30,纺企棉纱库存,2015-03-13,2021-07-14,,19.8,,
31,纺企棉纱库存,2015-03-20,2021-07-14,,19.2,,
32,纺企棉纱库存,2015-03-27,2021-07-14,,18.5,,
33,纺企棉纱库存,2015-04-03,2021-07-14,,18.0,,
34,纺企棉纱库存,2015-04-10,2021-07-14,,17.0,,
35,纺企棉纱库存,2015-04-17,2021-07-14,,16.7,,
36,纺企棉纱库存,2015-04-24,2021-07-14,,16.5,,
37,纺企棉纱库存,2015-05-08,2021-07-14,,17.3,,
38,纺企棉纱库存,2015-05-15,2021-07-14,,17.7,,
39,纺企棉纱库存,2015-05-22,2021-07-14,,18.0,,
40,纺企棉纱库存,2015-05-29,2021-07-14,,19.0,,
41,纺企棉纱库存,2015-06-05,2021-07-14,,20.0,,
42,纺企棉纱库存,2015-06-12,2021-07-14,,21.0,,
43,纺企棉纱库存,2015-06-19,2021-07-14,,21.8,,
44,纺企棉纱库存,2015-06-26,2021-07-14,,22.4,,
