,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,棉花-利润因子,2020-02-12,2022-03-10,,-0.31746031,,
1,棉花-利润因子,2020-02-19,2022-03-10,,-0.63492063,,
2,棉花-利润因子,2020-02-20,2022-03-10,,-0.63492063,,
3,棉花-利润因子,2020-03-04,2022-03-10,,-1.26984126,,
4,棉花-利润因子,2020-03-19,2022-03-10,,0.0,,
5,棉花-利润因子,2020-03-31,2022-03-10,,0.31746031,,
6,棉花-利润因子,2020-04-08,2022-03-10,,0.31746031,,
7,棉花-利润因子,2020-04-14,2022-03-10,,0.31746031,,
8,棉花-利润因子,2020-04-21,2022-03-10,,0.31746031,,
9,棉花-利润因子,2020-05-18,2022-03-10,,0.31746031,,
10,棉花-利润因子,2020-05-27,2022-03-10,,0.31746031,,
11,棉花-利润因子,2020-06-17,2022-03-10,,0.63492063,,
12,棉花-利润因子,2020-07-28,2022-03-10,,-0.63492063,,
13,棉花-利润因子,2020-08-04,2022-03-10,,-0.31746031,,
14,棉花-利润因子,2020-08-11,2022-03-10,,-0.63492063,,
15,棉花-利润因子,2020-08-18,2022-03-10,,-0.31746031,,
16,棉花-利润因子,2020-08-25,2022-03-10,,-0.63492063,,
17,棉花-利润因子,2020-09-01,2022-03-10,,-0.63492063,,
18,棉花-利润因子,2020-09-08,2022-03-10,,-0.63492063,,
19,棉花-利润因子,2020-09-15,2022-03-10,,-0.31746031,,
20,棉花-利润因子,2020-09-22,2022-03-10,,-0.63492063,,
21,棉花-利润因子,2020-09-29,2022-03-10,,-0.31746031,,
22,棉花-利润因子,2020-10-13,2022-03-10,,0.0,,
23,棉花-利润因子,2020-10-20,2022-03-10,,-0.31746031,,
24,棉花-利润因子,2020-10-27,2022-03-10,,-0.31746031,,
25,棉花-利润因子,2020-11-03,2022-03-10,,-0.63492063,,
26,棉花-利润因子,2020-11-10,2022-03-10,,-0.63492063,,
27,棉花-利润因子,2020-11-17,2022-03-10,,-0.31746031,,
28,棉花-利润因子,2020-11-24,2022-03-10,,-0.31746031,,
29,棉花-利润因子,2020-11-26,2022-03-10,,-0.31746031,,
30,棉花-利润因子,2020-12-01,2022-03-10,,-0.31746031,,
31,棉花-利润因子,2020-12-08,2022-03-10,,-0.31746031,,
32,棉花-利润因子,2020-12-15,2022-03-10,,-0.31746031,,
33,棉花-利润因子,2020-12-22,2022-03-10,,-0.31746031,,
34,棉花-利润因子,2020-12-25,2022-03-10,,-0.31746031,,
35,棉花-利润因子,2020-12-29,2022-03-10,,0.0,,
36,棉花-利润因子,2021-01-05,2022-03-10,,0.0,,
37,棉花-利润因子,2021-01-12,2022-03-10,,0.31746031,,
38,棉花-利润因子,2021-01-19,2022-03-10,,0.63492063,,
39,棉花-利润因子,2021-01-26,2022-03-10,,0.31746031,,
40,棉花-利润因子,2021-02-02,2022-03-10,,0.31746031,,
41,棉花-利润因子,2021-02-09,2022-03-10,,0.63492063,,
42,棉花-利润因子,2021-02-23,2022-03-10,,-0.31746031,,
43,棉花-利润因子,2021-03-02,2022-03-10,,-0.63492063,,
44,棉花-利润因子,2021-03-09,2022-03-10,,-0.31746031,,
45,棉花-利润因子,2021-03-16,2022-03-10,,-0.31746031,,
46,棉花-利润因子,2021-03-23,2022-03-10,,-0.31746031,,
47,棉花-利润因子,2021-03-30,2022-03-10,,-0.31746031,,
48,棉花-利润因子,2021-04-06,2022-03-10,,-0.31746031,,
49,棉花-利润因子,2021-04-13,2022-03-10,,-0.31746031,,
50,棉花-利润因子,2021-04-20,2022-03-10,,0.0,,
51,棉花-利润因子,2021-04-27,2022-03-10,,0.31746031,,
52,棉花-利润因子,2021-05-06,2022-03-10,,0.31746031,,
53,棉花-利润因子,2021-05-11,2022-03-10,,0.31746031,,
54,棉花-利润因子,2021-05-18,2022-03-10,,0.31746031,,
55,棉花-利润因子,2021-05-25,2022-03-10,,-0.31746031,,
56,棉花-利润因子,2021-06-01,2022-03-10,,-0.63492063,,
57,棉花-利润因子,2021-06-08,2022-03-10,,-0.31746031,,
58,棉花-利润因子,2021-06-15,2022-03-10,,-0.31746031,,
59,棉花-利润因子,2021-06-22,2022-03-10,,0.0,,
60,棉花-利润因子,2021-06-29,2022-03-10,,0.0,,
61,棉花-利润因子,2021-07-06,2022-03-10,,0.0,,
62,棉花-利润因子,2021-07-13,2022-03-10,,0.0,,
63,棉花-利润因子,2021-07-20,2022-03-10,,0.0,,
64,棉花-利润因子,2021-07-27,2022-03-10,,-0.31746031,,
65,棉花-利润因子,2021-08-03,2022-03-10,,-0.31746031,,
66,棉花-利润因子,2021-08-10,2022-03-10,,-0.31746031,,
67,棉花-利润因子,2021-08-17,2022-03-10,,-0.63492063,,
68,棉花-利润因子,2021-08-24,2022-03-10,,-0.63492063,,
69,棉花-利润因子,2021-08-31,2022-03-10,,-0.31746031,,
70,棉花-利润因子,2021-09-07,2022-03-10,,0.0,,
71,棉花-利润因子,2021-09-14,2022-03-10,,0.0,,
72,棉花-利润因子,2021-09-22,2022-03-10,,-0.31746031,,
73,棉花-利润因子,2021-09-28,2022-03-10,,0.0,,
74,棉花-利润因子,2021-10-08,2022-03-10,,-0.31746031,,
75,棉花-利润因子,2021-10-12,2022-03-10,,-0.31746031,,
76,棉花-利润因子,2021-10-19,2022-03-10,,-0.31746031,,
