,date,factor_indicator,y,signal
0,2013-01-07,5808.0,1,1.0
1,2013-01-08,5878.0,1,1.0
2,2013-01-09,5804.0,1,1.0
3,2013-01-10,5864.0,1,1.0
4,2013-01-11,5906.0,1,1.0
5,2013-01-14,5875.0,1,1.0
6,2013-01-15,5848.0,1,1.0
7,2013-01-16,5853.0,1,1.0
8,2013-01-17,5771.0,1,1.0
9,2013-01-18,5639.0,1,1.0
10,2013-01-21,5564.0,1,1.0
11,2013-01-22,5460.0,1,0.0
12,2013-01-23,5463.0,1,0.0
13,2013-01-24,5251.0,1,1.0
14,2013-01-25,5178.0,1,1.0
15,2013-01-28,4925.0,1,0.0
16,2013-01-29,5208.0,0,0.0
17,2013-01-30,5140.0,0,0.0
18,2013-01-31,4943.0,0,0.0
19,2013-02-01,4780.0,0,0.0
20,2013-02-04,4817.0,0,0.0
21,2013-02-05,4814.0,0,0.0
22,2013-02-06,4994.0,0,1.0
23,2013-02-07,5041.0,0,0.0
24,2013-02-08,4999.0,0,1.0
25,2013-02-18,5013.0,1,1.0
26,2013-02-19,4903.0,1,1.0
27,2013-02-20,4908.0,0,0.0
28,2013-02-21,4769.0,1,0.0
29,2013-02-22,4743.0,1,1.0
30,2013-02-25,4905.0,1,1.0
31,2013-02-26,4906.0,1,0.0
32,2013-02-27,5090.0,1,0.0
33,2013-02-28,5100.0,1,0.0
34,2013-03-01,4838.0,1,0.0
35,2013-03-04,4683.0,1,1.0
36,2013-03-05,4654.0,1,0.0
37,2013-03-06,4516.0,1,1.0
38,2013-03-07,4398.0,0,1.0
39,2013-03-08,4352.0,1,1.0
40,2013-03-11,4448.0,0,1.0
41,2013-03-12,4371.0,1,1.0
42,2013-03-13,4382.0,1,1.0
43,2013-03-14,4329.0,0,1.0
44,2013-03-15,4144.0,0,0.0
45,2013-03-18,3816.0,0,0.0
46,2013-03-19,3542.0,1,0.0
47,2013-03-20,3764.0,1,0.0
48,2013-03-21,3749.0,1,0.0
49,2013-03-22,4070.0,1,1.0
50,2013-03-25,4198.0,1,0.0
51,2013-03-26,4330.0,1,1.0
52,2013-03-27,4448.0,1,1.0
53,2013-03-28,4223.0,1,1.0
54,2013-04-02,4193.0,0,0.0
55,2013-04-03,4347.0,0,1.0
56,2013-04-08,4114.0,0,0.0
57,2013-04-09,4429.0,0,1.0
58,2013-04-10,4644.0,0,0.0
59,2013-04-11,4708.0,0,0.0
60,2013-04-12,4574.0,0,0.0
61,2013-04-15,4638.0,0,0.0
62,2013-04-16,4494.0,0,1.0
63,2013-04-17,4633.0,0,0.0
64,2013-04-18,4718.0,0,0.0
65,2013-04-19,4550.0,0,0.0
66,2013-04-22,4693.0,1,1.0
67,2013-04-23,4695.0,1,1.0
68,2013-04-24,4574.0,1,0.0
69,2013-04-25,4668.0,1,1.0
70,2013-04-26,4870.0,1,0.0
71,2013-05-02,4837.0,1,0.0
72,2013-05-03,4745.0,1,1.0
73,2013-05-07,4492.0,1,1.0
74,2013-05-08,4285.0,1,0.0
75,2013-05-09,4314.0,1,1.0
76,2013-05-10,4248.0,1,1.0
77,2013-05-13,4234.0,0,0.0
78,2013-05-14,4462.0,0,1.0
79,2013-05-15,4525.0,0,0.0
80,2013-05-16,4407.0,1,1.0
81,2013-05-17,4484.0,1,1.0
82,2013-05-20,4500.0,0,0.0
83,2013-05-21,4419.0,0,1.0
84,2013-05-22,4503.0,0,0.0
85,2013-05-23,4738.0,1,1.0
86,2013-05-24,4800.0,1,1.0
87,2013-05-28,5017.0,1,1.0
88,2013-05-29,5012.0,1,1.0
89,2013-05-30,5007.0,1,1.0
90,2013-05-31,5084.0,0,0.0
91,2013-06-03,5113.0,0,0.0
92,2013-06-04,5267.0,0,0.0
93,2013-06-05,4845.0,0,0.0
94,2013-06-06,4593.0,0,0.0
95,2013-06-07,4653.0,0,0.0
96,2013-06-13,4571.0,0,0.0
97,2013-06-14,4188.0,0,0.0
98,2013-06-17,4063.0,0,0.0
99,2013-06-18,4025.0,1,0.0
100,2013-06-19,4119.0,0,0.0
101,2013-06-20,4393.0,0,1.0
102,2013-06-21,4505.0,1,1.0
103,2013-06-24,4699.0,1,1.0
104,2013-06-25,4774.0,1,0.0
105,2013-06-26,4958.0,0,0.0
106,2013-06-27,4705.0,0,0.0
107,2013-06-28,4878.0,0,1.0
108,2013-07-01,4842.0,0,0.0
109,2013-07-02,4924.0,0,0.0
110,2013-07-03,4705.0,0,0.0
111,2013-07-04,4808.0,0,0.0
112,2013-07-05,4647.0,0,0.0
113,2013-07-08,4648.0,0,0.0
114,2013-07-09,4765.0,0,0.0
115,2013-07-10,4715.0,1,0.0
116,2013-07-11,4597.0,1,0.0
117,2013-07-12,4494.0,1,1.0
118,2013-07-15,4766.0,1,1.0
119,2013-07-16,4719.0,1,0.0
120,2013-07-17,4719.0,0,0.0
121,2013-07-18,4817.0,0,0.0
122,2013-07-19,4915.0,0,0.0
123,2013-07-22,4756.0,0,0.0
124,2013-07-23,4537.0,0,0.0
125,2013-07-24,4535.0,0,0.0
126,2013-07-25,4578.0,0,0.0
127,2013-07-26,4576.0,0,0.0
128,2013-07-29,4530.0,0,0.0
129,2013-07-30,4667.0,1,1.0
130,2013-07-31,4742.0,1,1.0
